Nama Jorong,Ketua Jorong,Jumlah KK,LK,PR,Total
Pasa Mudiak,Bapak A,0,294,306,600
Pasa Hilia,Bapak A,0,312,329,641
Kubang Tigo,Bapak A,0,319,275,594
Guak Nomeh,Bapak A,0,222,187,409
Batu Laweh,Bapak A,0,32,37,69
